folder,num_probes,best_single,worst_single,inverted_probes,union_min,union_median,union_min_tpr,union_median_tpr,union_min_fpr,union_median_fpr
vit_cifar100_lf_0_1_evade_l1,4,0.9602416061276059,0.009193746051800379,1,0.9194370183196463,0.9211794219835755,0.9430195689201355,0.969172477722168,0.2486249953508377,0.25575000047683716
vit_cifar100_sig_0_01_evade_l1,4,0.4396624289324068,0.43150180827542645,4,0.4157751026531902,0.40988210675931774,0.17624762654304504,0.15578016638755798,0.2722499966621399,0.27537500858306885
vit_cifar100_sig_0_05_evade_l1,4,0.4560523531269741,0.43260142135186364,4,0.438951958307012,0.4259225679090335,0.17725837230682373,0.15628553926944733,0.25862500071525574,0.27549999952316284
vit_cifar100_sig_0_1_evade_l1,4,0.4882667877447883,0.38358436512950095,4,0.4666314039797852,0.44744949463044853,0.22590018808841705,0.16816172003746033,0.2747499942779541,0.25037500262260437
vit_cifar100_tact_0_01_evade_l1,4,0.48859821541377135,0.4410238866077069,4,0.4611276373973468,0.4543203806064434,0.22173088788986206,0.21339228749275208,0.27412500977516174,0.2683750092983246
vit_cifar100_tact_0_05_evade_l1,4,0.49001000473783957,0.46768948199620974,4,0.4628823199620973,0.4651885344283007,0.22122551500797272,0.21718256175518036,0.27512499690055847,0.2681249976158142
vit_cifar100_tact_0_1_evade_l1,4,0.49296204200884397,0.4566434617814277,4,0.4696817119393557,0.46613136449778897,0.22387871146202087,0.20960202813148499,0.2535000145435333,0.2548750042915344
vit_cifar100_wanet_0_01_evade_l1,4,0.512617427353127,0.4936156427668983,1,0.5235953253316489,0.5083909112444726,0.2833859622478485,0.278205931186676,0.24799999594688416,0.25037500262260437
vit_cifar100_wanet_0_05_evade_l1,4,0.5689602258370183,0.2650841756159192,3,0.43623547852179406,0.41730868603916615,0.16234996914863586,0.09879975020885468,0.234375,0.23762500286102295
vit_cifar100_wanet_0_1_evade_l1,4,0.45178743682880607,0.19660252684775742,4,0.29826685091598226,0.2898107943777637,0.07226784527301788,0.06355021893978119,0.2537499964237213,0.257750004529953
vit_tiny_adaptive_blend_0_01_evade_l1,4,0.7608793661263977,0.2799665080412112,1,0.6995416038447041,0.7040492288604097,0.5804749131202698,0.5799723863601685,0.27175000309944153,0.27162501215934753
vit_tiny_adaptive_blend_0_05_evade_l1,4,0.8572273448297525,0.1501259501821837,1,0.8174097719562758,0.8396089097248398,0.8224651217460632,0.8386731743812561,0.25337499380111694,0.25975000858306885
vit_tiny_adaptive_blend_0_1_evade_l1,4,0.8824333458977259,0.08892791179796457,1,0.8298237529840433,0.8500510114335972,0.8533735275268555,0.8737278580665588,0.27012500166893005,0.25949999690055847
vit_tiny_badnet_a2a_0_01_evade_l1,4,0.4986905234375,0.49651790625,4,0.49657828125000003,0.49707726562500004,0.2607499957084656,0.24762499332427979,0.265749990940094,0.2536250054836273
vit_tiny_badnet_a2a_0_05_evade_l1,4,0.5922962499999999,0.46802149218749994,1,0.47106085937500003,0.5118237031249999,0.12212499976158142,0.2004999965429306,0.26512500643730164,0.26774999499320984
vit_tiny_badnet_a2a_0_1_evade_l1,4,0.582403328125,0.3127501640625,3,0.445642640625,0.43723596093749995,0.12549999356269836,0.16087499260902405,0.25850000977516174,0.2641249895095825
vit_tiny_badnet_a2o_0_01_evade_l1,4,0.9317278788164342,0.169998060371906,1,0.8208306948109059,0.8955076642794322,0.9802739024162292,0.994597315788269,0.25837498903274536,0.2683750092983246
vit_tiny_badnet_a2o_0_05_evade_l1,4,0.9280436298529965,0.017414703480336725,2,0.7987495995099887,0.6777895150144491,0.9239854216575623,0.5667797327041626,0.2540000081062317,0.25999999046325684
